Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/a_CUO620119VB1_px-4 py-2 block uppercase bg_c6de09""))",Chrome 141.0.7390.122,,,24-10-2025 00:19:33,24-10-2025 00:19:34,0.451s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/img_v1.3.0_w-full h-auto rounded-lg""), 0)",Chrome 141.0.7390.122,,,24-10-2025 00:19:34,24-10-2025 00:19:34,0.620s,PASSED
closeBrowser(),Chrome 141.0.7390.122,,,24-10-2025 00:19:34,24-10-2025 00:19:35,0.810s,PASSED
,,,,,,,
Test Cases/01_QA_PortalTributario/COD_01_PT_QATesting_RegistroUsuarios/02_Test_UsuariosRegistrados,Chrome 141.0.7390.122,"El objetivo de la prueba es:
1. Acceder con claves validas
2. No debe haber interrupciones
3. Ver el portal",Usuarios,24-10-2025 00:19:35,24-10-2025 00:19:57,21.388s,PASSED
"openBrowser("""")",Chrome 141.0.7390.122,,,24-10-2025 00:19:35,24-10-2025 00:19:37,1.125s,PASSED
"navigateToUrl(""https://saceq-kong-saceq-qa.apps.codice-cluser0.py57.p1.openshiftapps.com/app-qa/saceq"")",Chrome 141.0.7390.122,,,24-10-2025 00:19:37,24-10-2025 00:19:37,0.963s,PASSED
"click(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/a_Registro_bg-pt-tertiary rounded-lg text-w_5995c9""))",Chrome 141.0.7390.122,,,24-10-2025 00:19:37,24-10-2025 00:19:38,0.935s,PASSED
"setText(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/input_OFICINA VIRTUAL_RFC""), ""TTI680427SMA"")",Chrome 141.0.7390.122,,,24-10-2025 00:19:38,24-10-2025 00:19:39,1.019s,PASSED
"click(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/button_Cancelar_px-4 py-2 uppercase bg-pt-t_3f7ad9""))",Chrome 141.0.7390.122,,,24-10-2025 00:19:39,24-10-2025 00:19:40,0.613s,PASSED
"click(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/path""))",Chrome 141.0.7390.122,,,24-10-2025 00:19:40,24-10-2025 00:19:51,10.817s,PASSED
"setText(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/input_TTI680427SMA_Captura tu contrasea""), ""Funcional24*"")",Chrome 141.0.7390.122,,,24-10-2025 00:19:51,24-10-2025 00:19:52,1.003s,PASSED
"click(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/button_Cancelar_px-4 py-2 uppercase bg-pt-t_3f7ad9_1""))",Chrome 141.0.7390.122,,,24-10-2025 00:19:52,24-10-2025 00:19:52,0.438s,PASSED
"verifyElementText(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/p_BUMBBLE GUM S.A. C.V_title1 text-pt-terti_044aa3""), ""MI PERFIL"")",Chrome 141.0.7390.122,,,24-10-2025 00:19:52,24-10-2025 00:19:54,2.089s,PASSED
"click(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/button_v1.3.0_bg-pt-tertiary rounded-lg tex_a88ca3""))",Chrome 141.0.7390.122,,,24-10-2025 00:19:54,24-10-2025 00:19:55,0.454s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/img_v1.3.0_w-full h-auto rounded-lg""), 0)",Chrome 141.0.7390.122,,,24-10-2025 00:19:55,24-10-2025 00:19:56,1.032s,PASSED
closeBrowser(),Chrome 141.0.7390.122,,,24-10-2025 00:19:56,24-10-2025 00:19:57,0.815s,PASSED
